ID,NUMBER,NAME,TYPE1,TYPE2,COLOR,GENERATION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,OVERX,OVERY,BIG,SPRITEX,SPRITEY,ABILITY,EVO
3M,3,Venusaur,Grass,Poison,Green,1,2.4,155.5,80,100,123,122,120,80,0,3,0,0,3,239_-1_-1,
6X,6,Charizard,Fire,Dragon,Black,1,1.7,110.5,78,130,111,130,85,100,0,3,0,0,3,242_-1_-1,
6Y,6,Charizard,Fire,Flying,Red,1,1.7,90.5,78,104,78,159,115,100,0,4,0,0,4,50_-1_-1,
9M,9,Blastoise,Water,,Blue,1,1.6,101.1,79,103,120,135,115,78,0,3,0,0,3,123_-1_-1,
15M,15,Beedrill,Bug,Poison,Yellow,1,1.4,40.5,65,150,40,15,80,145,0,6,0,0,6,1_-1_-1,
18M,18,Pidgeot,Normal,Flying,Brown,1,2.2,50.5,83,80,80,135,80,121,0,3,0,0,3,139_-1_-1,
19A,19,Rattata,Dark,Normal,Black,7,0.3,3.8,30,56,35,25,35,72,0,0,0,0,0,72_87_239,20A_Raticate_LevelNight_20
20A,20,Raticate,Dark,Normal,Black,7,0.7,25.5,75,71,70,40,80,77,0,1,0,0,1,72_87_239,
25R,25,Pikachu,Electric,,Yellow,1,0.4,6,35,55,40,50,50,90,0,1,0,0,1,112_-1_-1,
25B,25,Pikachu,Electric,,Yellow,1,0.4,6,35,55,40,50,50,90,0,2,0,0,2,112_-1_-1,
25P,25,Pikachu,Electric,,Yellow,1,0.4,6,35,55,40,50,50,90,0,3,0,0,3,112_-1_-1,
25Phd,25,Pikachu,Electric,,Yellow,1,0.4,6,35,55,40,50,50,90,0,4,0,0,4,112_-1_-1,
25L,25,Pikachu,Electric,,Yellow,1,0.4,6,35,55,40,50,50,90,0,5,0,0,5,112_-1_-1,
26A,26,Raichu,Electric,Psychic,Brown,7,0.7,21,60,85,50,95,85,110,0,7,0,1,0,228_-1_-1,
27A,27,Sandshrew,Ice,Steel,White,7,0.7,40,50,75,90,10,35,40,0,0,0,0,0,204_-1_202,28A_Sandslash_Item_172
28A,28,Sandslash,Ice,Steel,Blue,7,1.2,55,75,100,120,25,65,65,0,1,0,0,1,204_-1_202,
37A,37,Vulpix,Ice,,White,7,0.6,9.9,38,41,40,50,65,65,0,2,0,0,2,204_-1_205,38A_Ninetales_Item_172
38A,38,Ninetales,Ice,Fairy,Blue,7,1.1,19.9,73,67,75,81,100,109,0,3,0,0,3,204_-1_205,
50A,50,Diglett,Ground,Steel,Brown,7,0.2,1,10,55,30,35,45,90,0,3,0,0,3,186_235_182,51A_Dugtrio_Level_26
51A,51,Dugtrio,Ground,Steel,Brown,7,0.7,66.6,35,100,60,50,70,110,1,0,0,0,5,186_235_182,
52A,52,Meowth,Dark,,Blue,7,0.4,4.2,40,35,35,50,40,90,0,2,0,0,2,149_236_171,53A_Persian_Happiness_220
52G,52,Meowth,Steel,,Brown,8,0.4,7.5,50,65,55,40,40,40,0,0,0,0,0,149_242_251,863_Perrserker_Level_28
53A,53,Persian,Dark,,Blue,7,1.1,33,65,60,60,75,65,115,0,3,0,0,3,69_236_171,
65M,65,Alakazam,Psychic,,Brown,1,1.2,48,55,50,65,175,95,150,0,3,0,0,3,244_-1_-1,
74A,74,Geodude,Rock,Electric,Grey,7,0.4,20.3,40,80,100,30,30,20,0,1,0,0,1,121_225_71,75A_Graveler_Level_25
75A,75,Graveler,Rock,Electric,Grey,7,1,110,55,95,115,45,45,35,0,3,0,0,3,121_225_71,76A_Golem_Trade_
76A,76,Golem,Rock,Electric,Grey,7,1.7,316,80,120,130,55,65,45,0,5,0,0,5,121_225_71,
77G,77,Ponyta,Psychic,,White,8,0.8,24,50,85,55,65,65,90,0,4,0,0,4,181_146_7,78G_Rapidash_Level_40
78G,78,Rapidash,Psychic,Fairy,White,8,1.7,80,65,100,70,80,80,105,0,5,0,0,5,181_146_7,
79G,79,Slowpoke,Psychic,,Pink,8,1.2,36,90,65,65,40,40,15,0,6,0,0,6,72_144_175,80G_Slowbro_Item_170;199G_Slowking_Item_171
80G,80,Slowbro,Poison,Psychic,Pink,8,1.6,70.5,95,100,95,100,70,30,2,0,0,1,3,168_144_175,
80M,80,Slowbro,Water,Psychic,Pink,1,2,120,95,75,180,130,80,30,1,1,0,1,2,196_-1_-1,
83G,83,Farfetch'd,Fighting,,Brown,8,0.8,42,52,95,55,58,62,55,0,5,0,0,5,217_-1_189,865_Sirfetch'd_Item_542
88A,88,Grimer,Poison,Dark,Green,7,0.7,42,80,80,50,40,50,25,2,2,0,1,5,154_72_156,89A_Muk_Level_38
89A,89,Muk,Poison,Dark,Green,7,1,52,105,105,75,65,100,50,2,4,0,2,0,154_72_156,
94M,94,Gengar,Ghost,Poison,Purple,1,1.4,40.5,60,65,80,170,95,130,0,3,0,0,3,193_-1_-1,
